Conference,Domain,Category,Raw Tag,Cleaned Tag
ICML,Machine learning,Learning theory,Statistical learning theory,
ICML,Machine learning,Optimization,Convex optimization,
ICML,Machine learning,Optimization,Non-convex optimization,
ICML,Machine learning,Optimization,Matrix and tensor methods,
ICML,Machine learning,Optimization,Sparsity,
ICML,Machine learning,Probabilistic inference,Bayesian methods,
ICML,Machine learning,Probabilistic inference,Graphical models,
ICML,Machine learning,Probabilistic inference,Monte Carlo methods,
ICML,Machine learning,Trustworthy machine learning,Accountability,
ICML,Machine learning,Trustworthy machine learning,Causality,
ICML,Machine learning,Trustworthy machine learning,Fairness,
ICML,Machine learning,Trustworthy machine learning,Privacy technologies and mechanisms,
ICML,Machine learning,Trustworthy machine learning,Robustness,
ICML,Machine learning,Machine learning applications,Computational biology,
ICML,Machine learning,Machine learning applications,Crowdsourcing,
ICML,Machine learning,Machine learning applications,Healthcare,
ICML,Machine learning,Machine learning applications,Neuroscience,
ICML,Machine learning,Machine learning applications,Social good,
ICML,Machine learning,Machine learning applications,Climate science,
CVPR,Computer vision and pattern recognition,NA,2D object recognition,
CVPR,Computer vision and pattern recognition,NA,3D computer vision,
CVPR,Computer vision and pattern recognition,NA,3D object recognition,
CVPR,Computer vision and pattern recognition,NA,Action and behavior recognition,
CVPR,Computer vision and pattern recognition,NA,"Adversarial learning, adversarial attack and defense methods",
CVPR,Computer vision and pattern recognition,NA,"Biometrics, face, gesture, body pose",
CVPR,Computer vision and pattern recognition,NA,Computational photography,
CVPR,Computer vision and pattern recognition,NA,Datasets and evaluation,
CVPR,Computer vision and pattern recognition,NA,Efficient training and inference methods for networks,
CVPR,Computer vision and pattern recognition,NA,"Explainable AI, fairness, accountability, privacy, transparency and ethics in vision",
CVPR,Computer vision and pattern recognition,NA,Image and video retrieval,
CVPR,Computer vision and pattern recognition,NA,Image and video synthesis,
CVPR,Computer vision and pattern recognition,NA,Image classification,
CVPR,Computer vision and pattern recognition,NA,Low-level and physics-based vision,
CVPR,Computer vision and pattern recognition,NA,Machine learning architectures and formulations,
CVPR,Computer vision and pattern recognition,NA,"Medical, biological and cell microscopy",
CVPR,Computer vision and pattern recognition,NA,Motion and tracking,
CVPR,Computer vision and pattern recognition,NA,Optimization and learning methods,
CVPR,Computer vision and pattern recognition,NA,Pose estimation,
CVPR,Computer vision and pattern recognition,NA,"Representation learning, deep learning",
CVPR,Computer vision and pattern recognition,NA,Scene analysis and understanding,
CVPR,Computer vision and pattern recognition,NA,"Transfer, low-shot, semi- and un- supervised learning",
CVPR,Computer vision and pattern recognition,NA,Video analysis and understanding,
CVPR,Computer vision and pattern recognition,NA,"Vision + language, vision + other modalities",
CVPR,Computer vision and pattern recognition,NA,"Vision applications and systems, vision for robotics and autonomous vehicles",
ICCV,Computer vision and pattern recognition,NA,3D from a single image and shape-from-x,
ICCV,Computer vision and pattern recognition,NA,Action and behavior recognition,
ICCV,Computer vision and pattern recognition,NA,Adversarial learning,
ICCV,Computer vision and pattern recognition,NA,Biometrics,
ICCV,Computer vision and pattern recognition,NA,Computational photography,
ICCV,Computer vision and pattern recognition,NA,Datasets and evaluation,
ICCV,Computer vision and pattern recognition,NA,Detection and localization in 2D and 3D,
ICCV,Computer vision and pattern recognition,NA,Efficient training and inference methods,
ICCV,Computer vision and pattern recognition,NA,Explainable AI,
ICCV,Computer vision and pattern recognition,NA,Faces,
ICCV,Computer vision and pattern recognition,NA,"Fairness, accountability, transparency, and ethics in vision",
ICCV,Computer vision and pattern recognition,NA,Gestures and body pose,
ICCV,Computer vision and pattern recognition,NA,Image and video synthesis,
ICCV,Computer vision and pattern recognition,NA,Image and video retrieval,
ICCV,Computer vision and pattern recognition,NA,Image and video manipulation detection and integrity methods.,
ICCV,Computer vision and pattern recognition,NA,Low-level and physics-based vision,
ICCV,Computer vision and pattern recognition,NA,Machine learning architectures and formulations,
ICCV,Computer vision and pattern recognition,NA,"Medical, biological, and cell microscopy",
ICCV,Computer vision and pattern recognition,NA,Motion and tracking,
ICCV,Computer vision and pattern recognition,NA,Neural generative models,
ICCV,Computer vision and pattern recognition,NA,Optimization and learning methods,
ICCV,Computer vision and pattern recognition,NA,Recognition and classification,
ICCV,Computer vision and pattern recognition,NA,Representation learning,
ICCV,Computer vision and pattern recognition,NA,Scene analysis and understanding,
ICCV,Computer vision and pattern recognition,NA,Scene text and document understanding,
ICCV,Computer vision and pattern recognition,NA,"Segmentation, grouping and shape",
ICCV,Computer vision and pattern recognition,NA,"Stereo, 3D from multiview and other sensors",
ICCV,Computer vision and pattern recognition,NA,Transfer/Low-shot/Semi/Unsupervised Learning,
ICCV,Computer vision and pattern recognition,NA,Video analysis and understanding,
ICCV,Computer vision and pattern recognition,NA,Vision + language,
ICCV,Computer vision and pattern recognition,NA,Vision + other modalities,
ICCV,Computer vision and pattern recognition,NA,Vision applications and systems,
ICCV,Computer vision and pattern recognition,NA,Vision for robotics and autonomous vehicles,
ICCV,Computer vision and pattern recognition,NA,Visual reasoning and logical representation,
ISCA,Computer architecture,NA,"Processor, memory, and storage systems architecture",
ISCA,Computer architecture,NA,Multiprocessor systems,
ISCA,Computer architecture,NA,Datacenter-scale computing,
ISCA,Computer architecture,NA,"IoT, mobile and embedded architecture",
ISCA,Computer architecture,NA,"Interconnection network, router and network interface architecture",
ISCA,Computer architecture,NA,"Accelerator-based, application-specific and reconfigurable architecture",
ISCA,Computer architecture,NA,Architectural support for programming languages or software development,
ISCA,Computer architecture,NA,Architectural support for interfacing with accelerators,
ISCA,Computer architecture,NA,"Architectural support for security, virtual memory, and virtualization",
ISCA,Computer architecture,NA,"Instruction, thread and data-level parallelism",
ISCA,Computer architecture,NA,Dependable processor and system architecture,
ISCA,Computer architecture,NA,"Architecture for emerging technologies and applications, including machine learning, novel memory technologies, quantum computing, etc.",
ISCA,Computer architecture,NA,Effects of circuits or technology on architecture,
ISCA,Computer architecture,NA,Architecture modeling and simulation methodologies,
ISCA,Computer architecture,NA,Evaluation and measurement of real computing systems,
MICRO,Microarchitecture,NA,"Hardware, software, and hybrid techniques for improving system performance, energy-efficiency, security, cost, complexity, programmer productivity, predictability, quality of service, reliability, dependability, scalability, etc.",
MICRO,Microarchitecture,NA,"Architectures for emerging application domains such as deep learning, machine learning, relational computation, neuromorphic, quantum, etc.",
MICRO,Microarchitecture,NA,"Accelerator designs and heterogeneous architectures including system-on-chip architectures, application specific fixed function, programmable, reconfigurable, near-data and in-memory accelerators, etc.",
MICRO,Microarchitecture,NA,"Architectural support for security, side-channel attacks and mitigation, privacy preserving computation, IoT/Cloud/Cyber-Physical-System security, security primitives, trusted execution environments, etc.",
MICRO,Microarchitecture,NA,"Architecture, microarchitecture and/or compiler optimizations for graphics processor units (GPUs) or other programmable accelerators",
MICRO,Microarchitecture,NA,"Microarchitecture and compiler techniques for optimizing the memory hierarchy, analysis of new memory hierarchies, emerging architectures based on new memory technologies",
MICRO,Microarchitecture,NA,"Architectures for instruction-level, thread-level, and memory-level parallelism: superscalar, VLIW, data-parallel, multithreaded, multicore, many-core, etc.",
MICRO,Microarchitecture,NA,"Processor, memory, interconnect, and storage architectures",
MICRO,Microarchitecture,NA,"Compiler and microarchitectural techniques for parallelism (ILP, TLP, MLP)",
MICRO,Microarchitecture,NA,"Microarchitecture techniques to better support system software, programming languages, programmability, and compilation",
MICRO,Microarchitecture,NA,Advanced software/hardware speculation and prediction schemes,
MICRO,Microarchitecture,NA,Microarchitecture modeling and simulation methodology,
MICRO,Microarchitecture,NA,"Low-power, high-performance, and cost/complexity-efficient architectures",
MICRO,Microarchitecture,NA,"Architectures for emerging embedded platforms, including smartphones, automotive, server/cloud, etc.",
MICRO,Microarchitecture,NA,"Architecture and/or compiler optimizations for embedded processors, DSPs, ASIPs (network processors, multimedia, wireless, etc.)",
MICRO,Microarchitecture,NA,"Insightful experimental and comparative evaluation and analysis of existing microarchitectures, hardware/software mechanisms and workloads",
ISVSLI,VLSI,NA,"Circuits, Reliability, and Fault-Tolerance (CRT)",
ISVSLI,VLSI,NA,Computer-Aided Design and Verification (CAD),
ISVSLI,VLSI,NA,Digital Circuits and FPGA based Designs (DCF),
ISVSLI,VLSI,NA,Emerging and Post-CMOS Technologies (EPT),
ISVSLI,VLSI,NA,System Design and Security (SDS),
ISVSLI,VLSI,NA,VLSI for Applied and Future Computing (AFC),
IOLTS,On-Line Testing and Robust System Design,NA,Dependable system design,
IOLTS,On-Line Testing and Robust System Design,NA,Dependable Computer Architectures,
IOLTS,On-Line Testing and Robust System Design,NA,Design-for-Reliability,
IOLTS,On-Line Testing and Robust System Design,NA,Design for Reliability approaches for Low-Power,
IOLTS,On-Line Testing and Robust System Design,NA,Cross-layer reliability approaches,
IOLTS,On-Line Testing and Robust System Design,NA,Fault-Tolerant and Fail-Safe systems,
IOLTS,On-Line Testing and Robust System Design,NA,Functional safety,
IOLTS,On-Line Testing and Robust System Design,NA,Self-Test and Self-Repair,
IOLTS,On-Line Testing and Robust System Design,NA,Self-Healing design,
IOLTS,On-Line Testing and Robust System Design,NA,Self-Regulating design,
IOLTS,On-Line Testing and Robust System Design,NA,Self-Adapting design,
IOLTS,On-Line Testing and Robust System Design,NA,Reliability issues of Low-Power Design,
IOLTS,On-Line Testing and Robust System Design,NA,Robustness evaluation,
IOLTS,On-Line Testing and Robust System Design,NA,"Quality, yield, reliability and lifespan issues in nanometer technologies",
IOLTS,On-Line Testing and Robust System Design,NA,,
IOLTS,On-Line Testing and Robust System Design,NA,"Variability, Aging, EMI, and Radiation Effects in nanometer technologies",
IOLTS,On-Line Testing and Robust System Design,NA,"On-line testing techniques for digital, analog and mixed-signal circuits",
IOLTS,On-Line Testing and Robust System Design,NA,Self-checking circuits and coding theory,
IOLTS,On-Line Testing and Robust System Design,NA,"On-line monitoring of current, temperature, process variations, and aging",
IOLTS,On-Line Testing and Robust System Design,NA,Power density and overheating issues in nanometer technologies,
IOLTS,On-Line Testing and Robust System Design,NA,"Field Diagnosis, Maintainability, and Reconfiguration",
IOLTS,On-Line Testing and Robust System Design,NA,Design for Security,
IOLTS,On-Line Testing and Robust System Design,NA,Fault-based attacks and counter measures,
IOLTS,On-Line Testing and Robust System Design,NA,"Design for Robustness for automotive, railway, avionics, space, large industrial applications, IT infrastructure, cloud computing, and wired, cellular and satellite communications",
IOLTS,On-Line Testing and Robust System Design,NA,CAD for robust circuits design,
TrustCom,Trusted computing and communications,Trust,"Trust semantics, metrics and models",
TrustCom,Trusted computing and communications,Trust,Trusted computing platform,
TrustCom,Trusted computing and communications,Trust,Trusted network computing,
TrustCom,Trusted computing and communications,Trust,Trusted operating systems,
TrustCom,Trusted computing and communications,Trust,Trusted software and applications,
TrustCom,Trusted computing and communications,Trust,Trust in social networks,
TrustCom,Trusted computing and communications,Trust,Trust in e-commerce and e-government,
TrustCom,Trusted computing and communications,Trust,Trust in mobile and wireless communications,
TrustCom,Trusted computing and communications,Trust,Risk and reputation management,
TrustCom,Trusted computing and communications,Trust,Survivable computer systems/networks,
TrustCom,Trusted computing and communications,Trust,Trust in 5G networks,
TrustCom,Trusted computing and communications,Trust,Miscellaneous trust issues in cyber Security,
TrustCom,Trusted computing and communications,Trust,System reverse engineering,
TrustCom,Trusted computing and communications,Trust,Watermarking and security,
TrustCom,Trusted computing and communications,Trust,Cryptanalysis and security solutions,
TrustCom,Trusted computing and communications,Security,Network and cyber security,
TrustCom,Trusted computing and communications,Security,Computer security,
TrustCom,Trusted computing and communications,Security,Database security,
TrustCom,Trusted computing and communications,Security,Web application security,
TrustCom,Trusted computing and communications,Security,"Security policy, model and architecture",
TrustCom,Trusted computing and communications,Security,Security in social networks,
TrustCom,Trusted computing and communications,Security,Security in parallel and distributed systems,
TrustCom,Trusted computing and communications,Security,Security in mobile and wireless communications,
TrustCom,Trusted computing and communications,Security,Security in cloud/pervasive computing,
TrustCom,Trusted computing and communications,Security,Authentication authorization and accounting,
TrustCom,Trusted computing and communications,Security,Security of 5G networks,
TrustCom,Trusted computing and communications,Security,Miscellaneous security issues,
TrustCom,Trusted computing and communications,Security,Steganography and steganalysis,
TrustCom,Trusted computing and communications,Security,Security-aware facial recognition,
TrustCom,Trusted computing and communications,Privacy,Privacy in web-based applications and services,
TrustCom,Trusted computing and communications,Privacy,Privacy in database systems,
TrustCom,Trusted computing and communications,Privacy,Privacy in parallel and distributed systems,
TrustCom,Trusted computing and communications,Privacy,Privacy in cloud/pervasive computing,
TrustCom,Trusted computing and communications,Privacy,Privacy in mobile and wireless communications,
TrustCom,Trusted computing and communications,Privacy,Privacy in e-commerce and e-government,
TrustCom,Trusted computing and communications,Privacy,Privacy in network deployment and management,
TrustCom,Trusted computing and communications,Privacy,Privacy and trust,
TrustCom,Trusted computing and communications,Privacy,Privacy and security,
TrustCom,Trusted computing and communications,Privacy,Privacy and anonymity,
TrustCom,Trusted computing and communications,Privacy,Privacy preservation in 5G,
TrustCom,Trusted computing and communications,Privacy,Miscellaneous privacy issues,
TrustCom,Trusted computing and communications,Privacy,Privacy-preserving biometrics,
TrustCom,Trusted computing and communications,Forensics and analytics,Anti-forensics and analytics,
TrustCom,Trusted computing and communications,Forensics and analytics,Big data forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,CCTV forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Cloud forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Computational forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Cyber-physical system forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Datamining for forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Fingerprint forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Image forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Malware forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,"Mobile app forensics (e.g. Skype, WeChat and Facebook)",
TrustCom,Trusted computing and communications,Forensics and analytics,Mobile device forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Multimedia forensics,
TrustCom,Trusted computing and communications,Forensics and analytics,Network forensics,
TrustCom,Trusted computing and communications,Emerging tech,Emerging hardware security,
TrustCom,Trusted computing and communications,Emerging tech,Emerging security problems and solutions in edge/fog computing,
TrustCom,Trusted computing and communications,Emerging tech,Emerging paradigms of deep learning in security,
TrustCom,Trusted computing and communications,Emerging tech,Emerging applications of reinforcement learning for securing networks,
TrustCom,Trusted computing and communications,Emerging tech,Emerging secure mechanisms for service delivery models,
TrustCom,Trusted computing and communications,Emerging tech,Emerging quantum safe cryptography for 5G,
TrustCom,Trusted computing and communications,Emerging tech,Emerging techniques in intelligent transportation systems,
TrustCom,Trusted computing and communications,Emerging tech,Emerging network attacks & anomalies detection and prevention,
TrustCom,Trusted computing and communications,Emerging tech,Emerging approaches to cybersecurity,
TrustCom,Trusted computing and communications,Emerging tech,Emerging techniques in identity management,
TrustCom,Trusted computing and communications,Emerging tech,Emerging approaches of smart contract and distributed ledger,
TrustCom,Trusted computing and communications,Emerging tech,Emerging blockchain techniques,
ISQED,"Manufactering, design, and EDA",Hardware and systems security,"Attacks and countermeasures including but not limited to side-channel attacks, reverse engineering, tampering, and Trojans",
ISQED,"Manufactering, design, and EDA",Hardware and systems security,"Hardware-based security primitives including PUFs, TRNGs and ciphers",
ISQED,"Manufactering, design, and EDA",Hardware and systems security,"Security, privacy, trust protocols, and trusted information flow",
ISQED,"Manufactering, design, and EDA",Hardware and systems security,"Ensuring trust using untrusted tools, IP, models and manufacturing",
ISQED,"Manufactering, design, and EDA",Hardware and systems security,Secure hardware architectures Secure memory systems,
ISQED,"Manufactering, design, and EDA",Hardware and systems security,Post-quantum security primitives,
ISQED,"Manufactering, design, and EDA",Hardware and systems security,Security challenges and opportunities of emerging nanoscale devices,
ISQED,"Manufactering, design, and EDA",Hardware and systems security,IoT and cyber-physical system security,
ISQED,"Manufactering, design, and EDA",Hardware and systems security,Any other topics related to hardware security,
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,"EDA and physical design tools, processes, methodologies, and flows",
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,"Design tools for analysis/ tolerance of variation, aging, and soft-errors",
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,Design and maintenance of hard and soft IP blocks,
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,"Challenges and solutions of integrating, testing, qualifying and manufacturing IP blocks from multiple vendors",
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,EDA for non-traditional problems such as smart power grid and solar energy,
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,"EDA tools and methodologies for 3D integrations, and advanced packaging",
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,Modeling and Simulation of Semiconductor Processes and Devices (TCAD),
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,CAD for bio-inspired and neuromorphic systems,
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,"EDA tools, methodologies and applications for Photonics devices, circuit and system design",
ISQED,"Manufactering, design, and EDA",Electronic design automation tools and methodologies,EDA for MEMS Any other topics related design automation tools and methodologies,
ISQED,"Manufactering, design, and EDA",Design test and verification,"Hardware and software formal-, assertion-, and simulation-based design verification techniques",
ISQED,"Manufactering, design, and EDA",Design test and verification,"All areas of DFT, ATE and BIST for digital designs, analog/mixed-signal IC's, SoC's, and memories",
ISQED,"Manufactering, design, and EDA",Design test and verification,Test synthesis and synthesis for testability,
ISQED,"Manufactering, design, and EDA",Design test and verification,"Fault diagnosis, IDDQ test, novel test methods, effectiveness of test methods, fault models and ATPG, and DPPM prediction",
ISQED,"Manufactering, design, and EDA",Design test and verification,SoC/IP testing strategies Design methodologies dealing with the link between testability and manufacturing,
ISQED,"Manufactering, design, and EDA",Design test and verification,Hardware/software co-verification,
ISQED,"Manufactering, design, and EDA",Design test and verification,"Advanced methodologies, testbenches, and flows (e.g., UVM, HDLs, HVLs)",
ISQED,"Manufactering, design, and EDA",Design test and verification,Formal and semi-formal verification and validation techniques,
ISQED,"Manufactering, design, and EDA",Design test and verification,Safety and security in verification and validation New methods and tools supporting functional safety and security,
ISQED,"Manufactering, design, and EDA",Design test and verification,Self-checking testbenches in analog verification,
ISQED,"Manufactering, design, and EDA",Design test and verification,Any other topics related to design test and verification,
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Design, simulation and modeling of emerging technologies",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Design, simulation and modeling of emerging non-volatile memory and logic, such as STT-RAM, PC-RAM, R-RAM, and Memristors",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Application of emerging devices for storage and computation including but not limited to cognitive, neuromorphic, or quantum computing",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Qubit technologies and quantum computing Specialty technologies such as MEMs, NEMs",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,Novel or emerging solid state nanoelectronic devices and concepts,
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,Design and Technology Co-Optimization,
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Optimization-based methodologies that address the interaction between design (custom, semi-custom, ASIC, FPGA, RF, memory, etc.)",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Advanced-node manufacturing techniques such as multiple patterning, EUV lithography, DSA lithography,",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Advanced interconnect (e.g., air gap for local interconnect, Si photonics, etc.).",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,"Modeling, analysis, and optimization of technology implications on performance metrics like power consumption, timing, area, and cost.",
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,Design methods and tools to improve yield and manufacturability.,
ISQED,"Manufactering, design, and EDA",Emerging devices and process technologies and applications,Any other topics related to emerging device technologies and applications,
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","Low power, high-performance, and robust design of logic, memory, analog, interconnect, RF, programmable logic, and FPGA circuits",
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","Techniques for leakage control, power optimization, and power management",
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","Analog circuit design including but not limited to all-digital PLLs and DLLs, ADC's and DAC's",
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging",Adaptive and resilient digital circuits and systems,
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","On-chip process, voltage, temperature, and aging sensors and monitoring",
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","Hardware design for IoT sensors and actuators including digital logic, memory design, wireless communications, energy harvesting, signal processing, and power management",
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","Innovative packaging technologies including 3D IC, 2.5D or interposer, and multi-chip module and their impact on system design",
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","Design techniques, methodologies and flows for vertically integrated circuits/chips",
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging",Modeling and mitigation of device interactions for 3D ICs,
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging",Design of die-to-die interfaces in 3D/2.5D ICs,
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging",Design-for-testability and system-level design issues in 3D/2.5D,
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging",Die-package co-design,
ISQED,"Manufactering, design, and EDA","Circuit design, 3D integration and advanced packaging","Any other topics related to circuit design, 3D integration and advanced packaging",
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,"Methods and tools aiming at quality of systems including multi-core processors, graphics processors embedded systems, SoC, novel accelerator designs, and heterogeneous architecture designs",
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,"System-level trade-off analysis and multi-objective (e.g. yield, power, delay, area, etc.) optimization",
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,System level power and thermal management,
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,Exploration of influence of emerging technologies on the system level design,
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,"System level modeling and simulation to characterize effects of process, voltage, temperature, and aging on power, performance, and reliability",
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,"Cyber-Physical Systems – Design, Methodologies & Tools",
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,"HW/SW co-design, co-simulation, co-optimization, and co-exploration",
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,HW/SW prototyping and emulation on FPGAs,
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,Micro-architectural transformation,
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,System communication architecture,
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,Application driven heterogeneous computing platforms,
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,Network-on-chip design methodologies,
ISQED,"Manufactering, design, and EDA",System-level design and methodologies,Any other topics related to system level design and methodologies,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Neuromorphic computing and non-Von Neumann architectures,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,"Hardware and architecture for neural networks and system-level design for (deep) neural computing Neural network acceleration techniques including GPGPU, FPGA and dedicated ASICs",
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Safe and secure machine learning Hardware accelerators for Artificial Intelligence Cognitive-inspired computing fundamentals,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Cognitive-inspired computing systems,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Cognitive-inspired computing with big data,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Cognitive-inspired intelligent interaction AI-assisted cognitive computing approaches,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Brain analysis for cognitive-inspired computing Internet of cognitive Things,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,"Cognitive environment, sensing and data",
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Cognitive robots and agents Security issue in cognitive-inspired computing,
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,"Test-bed, prototype implementation and applications",
ISQED,"Manufactering, design, and EDA",Cognitive computing hardware,Any other topics related to cognitive computing hardware,
FCCM,Field-programmable devices,Architectures,"Novel reconfigurable architectures, including overlay architectures",
FCCM,Field-programmable devices,Architectures,Architectures for high performance and/or low power computing,
FCCM,Field-programmable devices,Architectures,Security assessment and enhancements for reconfigurable computing,
FCCM,Field-programmable devices,Architectures,"Specialized memory systems including volatile, non-volatile, and hybrid memory subsystems",
FCCM,Field-programmable devices,Architectures,Emerging technologies with in-field reconfiguration abilities,
FCCM,Field-programmable devices,Architectures,"Clusters, data centers, or large systems of reconfigurable devices",
FCCM,Field-programmable devices,Architectures,Heterogeneous programmable architectures,
FCCM,Field-programmable devices,"Abstractions, programming models, and tools","Abstractions, programming models, interfaces, and runtimes, including virtualization",
FCCM,Field-programmable devices,"Abstractions, programming models, and tools",New languages and design frameworks for spatial or heterogeneous applications,
FCCM,Field-programmable devices,"Abstractions, programming models, and tools",High-level synthesis and designer productivity in general,
FCCM,Field-programmable devices,"Abstractions, programming models, and tools","Software-Defined-systems (e.g. radio, networks, frameworks for new domains)",
FCCM,Field-programmable devices,"Abstractions, programming models, and tools",Customizable soft processors systems,
FCCM,Field-programmable devices,Reconfiguration,Run-time management of reconfigurable hardware,
FCCM,Field-programmable devices,Reconfiguration,System resilience/fault tolerance for reconfigurable hardware,
FCCM,Field-programmable devices,Reconfiguration,"Evolvable, adaptable, or autonomous reconfigurable computing systems",
FCCM,Field-programmable devices,Reconfiguration,Security assessment and enhancement of run-time reconfiguration,
