,abstract,labels
11,suitable_matching np_hard_combinatorial problem matching_compromises non_rigidly_matching gradient_descent optimisation_methods suitablraph_theoretic approach__secondly resulting_large rigidly_transformed neighbouring_triangles relative_rotation image_data good_initialisation major_challenges obtain_solutions optimal_solution efficient_discretisation shape_information combinatorial_formulation registration combinatorial_solution unbounded__dimensional group_se triangular_mesh,'Optimization'
12,Deep_Crisp_Boundaries strict_criteria crisp_edge_detector require_crisp_edge inputs estimating_optical_flow novel_refinement_architecture significant_progress edge_detection crisp_edge_maps standard_benchmarks largely_outperforming_state method_leverages systematical_study deep_convolutional_networks convnet_convnet edge_detectors human_level performance bsds__surpassing human_accuracy challenging_problem progressively_increases refinement_pathway performance detector_outputs feature_maps,'Machine learning applications'
13,Image Image_Detection Camera_Response Function_Analysis image_manipulation_techniques distinguishable_shape_differences emulate_wide_aperture boundary_splicing image_forgery_detection robust_splicing deep_learning_framework non_linear_crfs affect_edges art_techniques copy_move_forgery detection forged_images_produced splicing_operation splicing_followed technique_based intensity_gradient_bivariable histograms near_edges fake_motion_andor defocus_blurs handwriting_recognition_problem camera_response_functions crf,'General machine learning'
14,second_contribution hyper_parameters nearest_neighbor classifier_applied generic_architecture purely_convolutional available_online art_framework separation_properties discover_empirical_properties continuous__expansive accuracy_respectively analyzed_local_support vectors network_permits neural_networks deep_networks deep_features_progressively improves convolutional_neural_networks,'Optimization'
15,recursive_sum_max maps multiple_parts stochastic_gradient_algorithm experiments hierarchical_random_field models current_model inferred_geometric_configurations maximum_likelihood_estimation hierarchical_sparse_frame filters_random field locations__scales learning_meaningful interpretable_templates maximum_entropy model unknown_locations scales resulting_model training_image original_sparse_frame model em_type_algorithm resulting_model steps__inference generative_learning object_detection classification model_parameters,'Machine learning applications'
16,fastmask scale_differently efficient_one_shot inference practical_applications weight_shared_residual neck_module segment_objects accuracy__fastmask different_functional_components body__neck natural_images scale_tolerant_attentional head_module segment_multi_scale objects average_recall adapt_segment_proposal network fps robust_performance coco_benchmark hierarchical_features fact_requires_methods object_scales object_centric_tasks object_proposal resolution_images objects_appear art_segment proposal_methods deep_convolutional_neural networks novel_segment_proposal framework times_faster moreover,'Machine learning applications'
17,adaptive_class_preserving representation classifications sparse_representation_based classification_src uses_norm penalty lasso_overemphasizes adopted_lasso_type regressions group_lasso unlabeled_sample uncorrelated__acprc turns linear_representation_based image_classification discriminative_solution regularization highly_correlated training_samples group_lasso_based classification samples_belonging representation_coefficients inherent_structure,'Optimization'
18,co_segmentation_tasks similar_images single_image joint_skeleton_extraction joint_processing_problems common_objects turn__needs good_segmentation co_skeletonization_task semantically_similar_images object_skeletonization individual_processing joint_processing_topic object_co_skeletonization objects_shape co_segmentation prior_knowledge coupled_framework challenging_problem certainly_shown joint_processing,'Optimization'
19,adaptively_finds_clusters stronger_constraints subspace_approach methods_approximate high_dimensional data global_rank_constraint matrix_elements makes_estimation global_dynamics_yields data_estimation dimensional_subspace simultaneously_uses matrix_factorization resulting_factorization measurement_fit imposes_constraints factorization_model dimensional_local_subspaces matrix_entries missing_entries,'Optimization'
20,Minimum Minimum_Delay Object_Detection false_alarm_constraints object_moves_relative minimum_delay general_framework background_motion object_moves moving_object_detection unknown_time video_based method_achieves apparent_motion false_alarms experiments online_manner reliably_detect,'Machine learning applications'
21,significant_exploration morphing__division expression_subspaces human_face pre_learnt_identity fitting__robustness pre_learnt_subspace disparity_brought facial_muscle_deformation ethnicity__age gender__etc missing_data space_time_data surface_directly model_compared morphing_subspace face_representation linear_class pre_learnt_subspace popular_methods fitting_algorithm model__convincing results great_advantages refinement_progress shape_units sus face_surface model_fitting refinement_make face_scan_data kinect_data nonlinear_manifold point_components pre_learnt_subspace methods_dmms facial_action_coding optimize_coefficients limited_span larger_span fitting_data,'Probabilistic inference'
22,deeppermnet stochastic_matrices patches_shuffled visual_data art_performance sinkhorn_iterations natural_images novel_deep_learning task_visual_permutation unknown_permutation_matrix permutation_matrices segmentation_tasks public_figures shuffled_versions original_image task_boils vision_problems relative_attributes principled_approach model continuous_approximation posing_difficulties ii self_representation,'Machine learning applications'
23,multi_layer_perceptions anchor_based_bipartite graph network_complexity promising_power graph_laplacian_regularizer local_manifold_tangent space_theoretical_analysis presents close_relationship geometric_structure retaining_local_geometric structure simultaneously_preserve deep_structured_regularizer art_methods graph_regularized_deep neural_network gr_dnn discriminative_embedding_space deep_auto_encoder dae manifold_learning high_level_semantics optimization_objective good_scalability high_level_representation,'Optimization'
24,modeling_information bidirectional_models extending_beam_search bs future_sentence_structure significant_advantage interesting_problem search__bibs baseline_methods efficient_algorithm widely_used_approximate inference_algorithm open_problem despite reconstruct_sensible_image descriptions bidirectional_models_remains unidirectional_neural_sequence models_approximate approximate_inference_algorithm bidirectional_neural_sequence models approach__consistently requires_reasoning backward_time_dependencies beam_search bs decoding_sequences,'Optimization'
25,Regression Regression_Gradient gradient_boosting image_inpainting gaussian_conditional_random field__gcrf matches train_nonlinear_data terms challenging_regression_benchmarks vessel_detection single_image depth_estimation generalized_version structured_output_prediction model,'Optimization'
26,avoid_noticeable challenging_multimodal_dynamic dynamic_hand_gestures depth__color employ_connectionist_temporal classification recurrent_three_dimensional convolutional_neural_network outperforms_competing_state performs_simultaneous_detection automatic_detection classification_difficult method_achieves_state inprogress_gestures people_perform_gestures making_detection gesture_recognition chalearn_benchmarks negative__classification large_diversity predict_class_labels truly_instantaneous approaches_human_accuracy,'Machine learning applications'
27,particular_incarnation_used architectural_decisions main_hallmark hebbian_principle called_googlenet improved_utilization imagenet_large_scale visual_recognition challenge_ilsvrc computing_resources_inside optimize_quality deep_convolutional_neural network_architecture inception,'Machine learning applications'
28,Propagated_image_filtering propagation_filter robust_estimator high_dynamic_range hdr__compression novel_image_filtering operator preserving_image_context relate_propagation_filtering image_denoising smoothing__fusion belief_propagation textural_regions utilize_explicit_spatial kernel_functions expected_difference filtering_process suggest_techniques guided_filters improved_performance neighboring_image_pixels,'Optimization'
29,outdoor_environments predicted_correctness semi_global_matching algorithm confidence_based_matching cost_modulation scheme select_effective_confidence various_stereo_matching algorithms cost_modulation_methods kitti extensive_experimentation selection measures regression_forest_framework train_regression_forests various_confidence_measures associate_supervised_learning based_confidence_prediction,'Machine learning applications'
30,principal_components pca_flow_algorithm robustly_estimates different_layers natural_flow_fields estimating_optical_flow significantly_faster combine_information hollywood_movies optical_flow_fields method_runs resulting_pca_layers method_runs occluded_regions dense_optical_flow novel_sparse_layered flow_method popular_methods sparse_matches compactly_approximated dense_flow_field sparse_matches full_frame_basis flow_fields pca_flow elusive_goal,'Optimization'
31,specific_attributes category_specific_attributes search_objects large_margin buildings_loses one_sided_instances generic_instance_search large_appearance_variations present fisher_vector viewing_angles combining_category_level information category_specific_attributes attributes__thirdly category_level_information shoe_images_recorded low_level_features,'Machine learning applications'
32,color_information range_images current_commodity_depth sensors_make robotics_applications joint_object_recognition standard_random_sampling based_approach computationally_expensive_training phase pose_estimation generating_promising_inlier sets local_belief_propagation dynamic_programming difficult_problem exploiting_data_parallelism vision_problem clear_outliers early_rejection g pose_estimation_solely,'Machine learning applications'
33,hog_iii_features poselet_model probable__true activations detection_performance different_models effective_organizationfusion_methods iii_features moreover algorithm particular_kind object_categories human_detection biases_rooted deformable_part_based model human_detection_task cell_based_histogram structure competitive_improvements bar_shape_features combine_certain_complementary featuresmodels efficient__relatively features__color certain_combination_features combination_models that weighted_nms_fusion algorithm human_bodies detection_performance_significantly effective__obvious improvement overlapped_detections deep_cnn_based model difficult_problem grammar_model,'Optimization'
34,label_corruption_levels image_labels non_parametric_method data_sets computationally_efficient widely_used large_scale available_data sets correcting_mislabeled_examples associated_images related_methods robust_regression image_collections method_achieves_superior denoising_accuracy robust_regression,'Probabilistic inference'
35,saliency logistic_regression_layer combining_information predict_fixations natural_scenes image_regions_centered non_fixation_locations multiresolution_convolutional_neural network_mr cnn fixation_attributes novel_computational_framework simultaneously_learn labels__diverse factors publically_available_benchmark multiple_resolutions visual_features higher_layers directly_trained predicting_fixations,'Optimization'
36,kernel_estimation challenging_task discuss_various_kernel fusion_models kernel_contributes kernel_element individual_kernels kernel_fusion multiple_methods fusing_multiple_kernels individual_kernel gaussian_conditional_random fields_performs significantly_improve_image individual_kernels_estimated data_driven_approach gaussian_conditional_random fields_kernel fusion_method large_number image_deblurring combining_kernels,'Machine learning applications'
37,distribution__irrelevant patches transform_domain non_local_based perceptual_quality individual_patch distribution_modeling distribution_model non_local_samples particular_patch similar_patches image_based transform_bands art_denoising_methods global_model variance_parameters data_samples laplacian_distribution global_modeling adaptive_soft_thresholding image_denoising_approach different_transform_bands image_quality estimated_individually non_local_correlation image_signals employs_content_adaptive models,'Optimization'
38,np_hard_problem inference_problem graphical_models vision_benchmarks considered_graphical_model labels_marked certain_sense largest_total_number algorithm_marks ii non_optimal optimal_solution machine_learning optimal__meaning polynomial_time_practically efficient_algorithm prove_optimality optimal_solutions iii decision_regarding,'Optimization'
39,right_architecture quite_robust shown_incredible_promise architecture_leads single_image constraints__man meaningful_intermediate_representations room_layout edge_labels years__convolutional neural_nets cnn scene_understanding predicting_surface_normals,'Optimization'
40,binary_hashing approaches_approximate binary_code_produced attractive_approach low_dimensional binary_vector high_dimensional optimal_hash_function image__image binary_space auxiliary_coordinates decoder_separately binary_hashing resulting_hash_function outperforms image_databases easier_steps hash_function fast_search art_methods,'Machine learning applications'
41,selective_match_kernel lower_number asymmetrical_manner power_law_normalization image_similarity public_benchmarks query__extensive visual_bursts art_image search_systems achieves_performance image_comparison_based indexing_system geometrical_quantities detection_strategies_jointly visual_retrieval local_descriptors visual_bursts database_features bursty_groups explicitly_detect early_stage significantly_reduced_complexity thanks,'Optimization'
42,local_depth_estimation methods single_image_depth hierarchical_representation additional_knowledge suffers formulate_single_image depth_estimation different_layers leverages_higher_level information models_local_depth graphical_model reason_locally ambiguities__unlike produces_detailed_depth estimates global_structure,'Machine learning applications'
43,establish_correspondence_constraints constrain_pose_estimation despite_ambiguities carry_information depth_images benchmark_sequences pose_estimation scene_geometry useful_contour_cues smooth_surfaces additional_challenging_examples demonstrate tracking_camera_pose,'Machine learning applications'
44,sparse_edge_representation blur_strength_estimation image_decomposition slight_edge_blurriness contains_informative_clues fundamental_problem small_number directly_establishes_correspondence local_information photo_taking effective_blur_feature noticeable_blur jnb__caused sparse_representation unblurred_structures small_blur_reliably,'Optimization'
45,crucial_issue face_recognition multitask_learning illumination_images pose_illumination_invariant feature target_pose_face image illumination__invariant feature__changed scheme__preserving identity novel_type frontal_view_image target_pose arbitrary_pose multiple_face_recognition results deep_architecture_based invariant_feature preserving_identity rotating_pose_image users_intention illumination_image art_algorithms synthesized_controlled_pose images_pose image_cpi clearly_outperform difficult_problem multi_task_model improves_identity preservation illumination_changes,'Machine learning applications'
46,detected_objects feature_pooling_method regression_model object_information large_intra_class variability samples_selected region_structure method__based distinctive_parts conventional_spatial_pyramid pooling_features segmented_regions novel_feature_pooling method challenging_problem learning_models object_detection coarse_region_matching scheme,'Optimization'
47,major_application markov_chain_monte carlo_methods computational_cost joint_distribution classical_algorithms transforming_mrfs downsize_mrfs require_large_computational cost directly_reduce continuous_mrfs marginal_inference_problem downsizing_mrfs computation__unlike transformed_one generic_method latent_variables marginal_distributions original_mrfs variable_space novel_probabilistic_formulation downsized_mrfs,'Machine learning applications'
48,hand hand_pose principled_hierarchical_regression articulated_objects faster__comprehensive second_contribution pose_indexed_features hand_pose_estimation problem cascaded_object_pose art_accuracy parameterized_features,'Learning theory'
49,meta_information fashionability_scores conditional_random_field model jointly_reasons rich_feedback improve_fashionability scenery_shehe joint_approach_significantly outperforms fashionability_factors data__showing different_outfit_trends user__conveying detailed_analysis user_posts_containing diverse_image person_looks intelligent_baselines suggest_subtle_improvements fashionability_score,'Machine learning applications'
50,superior_performance networks__cnn various_settings experimentally_confirm feature_representation improved_fisher_vector ifv descriptor_values first_person_video activity_recognition appearance_descriptors local_spatio_temporal features feature_descriptors entire_scene_dynamics approach_clearly_outperforms activity_video per_frame_feature represent_motion optical_flows hof representation_framework_based salient_local_motion short_termlong_term changes handling_first_person general__handling improved_trajectory_features originally_developed,'Optimization'
51,finding_dense_intrinsic correspondence inducing_functional_localization non_rigid_shape matching_benchmarks manifold_geometric_structure scarce_data art_correspondence_algorithms method_compares_favorably especially_advantageous recently_introduced_functional framework discuss_efficient_numerical procedures matrix_completion functional_correspondence_problem,'Machine learning applications'
52,working_principles sample_sets time_varying_probability distribution practical_usefulness time_varying_distribution domain_adaptation_setting training_time exemplary_application training probabilistic_sense training_classifiers test_time_distribution learning_operators techniques_probability distributions future_state extrapolation_problem main_contribution reproducing_kernel_hilbert space,'Optimization'
53,various_graph_partition algorithms video_segmentation consist combine_features best_video_segmentation performance edge_weights graph_edges edge_selection best_performing_video segmentation_algorithm spatio_temporal_neighborhoods object_appearance wide_variety learnt_graph challenging_benchmark graph_methods top_performance essential_components classifier__calibrated classifier_outputs graph__without changes large_diversity motion_similarities graph_topology,'Optimization'
54,representations__equivariance invariance structured_output_regression stitching_layers deep_convolutional_neural networks__cnn visual_information cnn__capture remains_limited input_image properties_empirically reveal_insightful_aspects theoretical_understanding certain_geometric_invariances equivalence__equivariance studies theoretical__direct applications effect__equivalence studies different_parametrisations oriented_gradients introducing_transformation representation__invariance special_case popular_representations mathematical_properties image_representations,'Probabilistic inference'
55,valuable_information effectively_compressed jointly_used rich_heterogeneous novel_approach extensively_evaluated learned_space learn_cross_modal features testing_procedure matrix_form depth_features capture_useful_information reduce_noise generalization_power action_recognition depth_features depth_data recognition_task low_rank_bilinear model_composed various_sources capture_complex_spatiotemporal structural_relationships model_parameter visual_features recognition__knowledge,'Optimization'
56,human_actions spatial_structure layers_increases representations_extracted recurrent_neural_network rnn long_term_contextual information art_performance deep_architectures_derived model_achieves temporally_accumulated_output separately_feed human_skeleton skeleton_based_action recognition__instead skeleton_joints skeleton_sequences hierarchically_fused temporal_dynamics hand_crafted_features parts_according recognize_human_actions higher_layers,'Machine learning applications'
57,multi_scale_image patches pixel_level surface_normal pixel_level surface_normal_values inference_problem post_processing_refining local_structure single_monocular_color images estimated_super_pixel depth framework_works essentially_underdetermined_problem exploiting_various_potentials dcnn_model smoothness_term data_term estimation_map levels__super pixel_level efficiently_solved super_pixel_level challenging_task closed_form_solution experiments deep_convolutional_neural network_dcnn features auto_regression_term,'Machine learning applications'
58,effectively_used multi_manifold_deep metric_mmdml method different_class manifold_margin learn_multiple_sets art_performance deep_learning nonlinearly_multiple_sets class_specific_information method_achieves varying_illuminations object_class image_instances_captured image_classification mmdml_method nonlinear_transformations image_instances varying_viewpoints,'Optimization'
59,discriminative_activation_vectors supervised_single_hidden layer_neural_network discriminative_objective_function effective_sparselets scene_classification sparselets work multi_class_object detection discriminative_information_hidden activation_vectors unified_framework shared_basis_learned detectors__resulting model_based_methods methods sparselets_training simultaneously_train_fine train_coarse_sparselets notable_speedup imposing_l_norm sparsity_constraint novel_scheme framework__specifically object_detection jointly_embedded unsupervised_single_hidden large_number successfully_applied,'Optimization'
60,shape_classification intrinsic_metric shapes_intrinsic_geometry wide_range non_rigid_deformations deformable_shapes deformation_modes novel_generative_model shapes_belonging retrieval_tasks comparison surfaces_geometry spectral_decomposition art_solutions resulting_generative_model independent_models problems_confirm identifiable_characteristic completely_isometric non_rigid_transformation,'Optimization'
61,addition__proved flexible_graphs changing_conditions individual_actions long_video_segments different_severe_scenarios graph_theoretical_methods observed_scenes successfully_provided_semantic form_high_probability configurations structural_interpretations local_solutions globally_superior_ones occlusion__viewpoint variations representing_interactions individual_interpretations exhibit_cluttered_background scenarios generating_interpretations efficient_annealing_algorithm actions longer_videos longer_temporal_connections scene_interpretations understanding_longer_videos illumination__interpretations enable_semantic_interpretations pattern_theoretic_approach structural_methods classification_errors analyzing_short_videos involving_isolated_actions intricate_videos allows_construction video_segments termed_bonds termed_generators yield_performance_increases non_overlapping_time segments uses_additional_temporal bonds,'Probabilistic inference'
62,mirror-based_camera pose_computation fixed_axis_rotation constraint non_overlapping_pair novel_approach extrinsic_camera_calibration scenarios rotation_averaging employing_iterative_l norm_averaging camera_pose planar_mirror mirrored_views enables_mirror_based pose_estimation elegant_formulation theoretical_contribution_extends highly_relevant general_case,'Machine learning applications'
63,saliency_detection model_saliency produce_good extensively_evaluated employ_deep_convolutional neural_networks multi_context_deep learning_framework low_contrast_background task_specific_pre training_scheme imagenet_image_classification challenge conventional_approaches art_methods salient_object_presents low_level_saliency cues consistent_improvements investigate_different_pre training_strategies issue_raises saliency_detection images__global unified_multi_context deep_learning_framework local_context jointly_modeled multi_context_modeling,'Machine learning applications'
64,learn_separate_models approach_achieves_state hierarchical_structure dynamic_programming represent_action action_specific_motion information learned_discriminatively model_captures action_labels action_recognition pose_estimation lateral_connections adjacent_frames_capture integrate_training appearance_variations efficiently_inferred closely_related_tasks mid_level_st parts scales__specifically model_parameters,'Optimization'
65,temporal_series msrii meaningful_motion video_segmentation action_proposal_generation spatial_bounding_boxes superior_performance action_detection approaches spatio_temporal_video tube action_proposal_corresponds video_tubes good_potential action_proposals spatiotemporal_paths greedy_search human_action generating_generic_action proposals overall_actionness_score unconstrained_videos motion_cues,'Probabilistic inference'
66,semi_supervised_learning framework manual_inspection assessing_damages alternative_features data_required hierarchical_shape_features armed_conflict enable_accurate words_setting large_scale_damage detection human_annotation_time minimal_loss ten_fold_reduction registration_differences_impact distressed_areas_undergoing assessment_makes detection_accuracy_compared different_locations_around semi_supervised_framework results practical_factors sun__sensor resolution_satellite angle valuable_source comparative_evaluation satellite_imagery multiple_learning_settings satellite_imagery,'Machine learning applications'
67,object_categorization adapting_object_classification systems single_image adapting_classifiers samples single_image class_distribution_varies benchmark_classifier_adaptation methods prediction_time applied_sequentially test_examples probabilistic_method correlated_data usually_evaluated error_rate creating_realistically_distributed image_sequences significantly_reduce carry_dependencies expected_error,'Optimization'
68,automatic_detections method_shows_good generalization wide_range body_pose human_poses priors_admit_invalid poses quantitatively_compare joint_locations joint_limits human_poses new__multi stage__method methods_impose leeds_sports_pose dataset human_pose pose_dependent_model joint_limits_vary inherently_posed general_parametrization manual_annotations,'Machine learning applications'
69,train_visual_detectors word_usage bleu__score commonly_occur human_judges_compare novel_approach word_detector_outputs serve image_descriptions image_captions language_model_learns deep_multimodal_similarity model conditional_inputs descriptions_visual_detectors language_models official_microsoft_coco benchmark__producing maximum_entropy_language model multiple_instance_learning different_parts set capture_global_semantics ones_written multimodal_similarity_models learnt_directly,'Optimization'
70,experiments missing_labels adequately_address label_correlations challenges__exploiting correlations semi_supervised_low rank_mapping slrm_model classification_performance label_correlations nuclear_norm_regularization results generated_significant intrinsic_structure required_labeled_data efficient_algorithm multi_label_problems arise art_methods labeled_data alternating_direction_method introduces_manifold_regularizer obtain_promising automatic_multimedia data_categorization efficiently_deal machine_learning_community effectively_capture challenges__slrm,'Optimization'
71,Computationally_bounded_retrieval sacrifice_accuracy art_methods large_image_databases significant_drop especially_true efficient_projections obtain_fast method_achieves jointly_optimizes learn_computationally_bounded sparse_projections orthogonality_constraint iterative_scheme large_retrieval_databases imagenet_gistm high_dimensional_data encoding_step costly_projection_operators unlike efficient_retrieval_extremely novel_method hashing_methods high_dimensional_image retrieval reduce_correlation,'Machine learning applications'
72,guide_future_efforts network_based_architectures error_modes explain_coarse_pose challenging_detection_setting pose_estimation leveraging_viewpoint_estimates correctly_estimate_pose keypoint_prediction simultaneously_detect achieving_significant_improvements finer_details known_bounding_boxes rigid_objects substantially_improve_local appearance_keypoint predictions different_settings constrained_setting object_characteristics determining_viewpoint,'Optimization'
73,invent_chair_styles generate_images different_chairs interpolate supervised_manner merely_learn chair_models different_chairs training_set chair_model_allowing meaningful_representation missing_ones type__viewpoint generative_convolutional_neural network,'Machine learning applications'
74,correct_matches probe_person_image linear_similarity_functions greedily_keeping mahalanobis_distance negative_semi_definite regularization explicit_polynomial_kernel feature_map discover_different_soft patch_patterns similarity_scores unmatched_images similarity_information explicit_polynomial_kernel feature sparsity_constraint methodology similarity_function images__called soft_patch,'Optimization'
75,highly_accurate_bottom ensembles_operate reduce_ensemble_training uncapacitated_facility_location problems approach_rapidly_generates trained_ensembles_generalize generally_applicable_model combinatorial_optimization elementary_image_features training_procedure_jointly optimizes significant_margin delineate_candidate_objects highly_accurate_segmentation ensembles trained_jointly enabling_individual_models figurround_segmentation incorporated_models object_proposal algorithms,'Probabilistic inference'
76,considerable_portion event_recognition joint_reasoning_based multi_scale_spatial maps multi_layer_framework personal_lives social_activities multiple_aspects images__despite novel_strategy event_recognition recognizing_individual_objects deep_learning directly_applicable deep_network images_capture_events bounding_boxes recognizing_events semantic_fusion visual_appearance task__generally events objects_discovered event_photos_requires techniques art__raising complex_phenomena substantial_improvement detected_instances involve_interactions effective_method,'Machine learning applications'
77,multiple_feature_modalities max_margin_principle representation_power classifier_parameters latent_spatial_temporal patterns__stps high_level_representation perform_action_recognition inference_process perform_bayeisan_estimation test_videos unified_bayesian_framework inference_process represent_actions employ_gibbs_classifiers action_recognition efficient_gibbs_sampling algorithm classification_capability regularization_terms hierarchical_generative_model hgm steps__mhbm jointly_learns expected_loss_function addition__multi task_learning action_recognition different_classes separate_representation multi_feature_max margin_hierarchical_bayesian model_mhbm discriminative_max_margin classifiers,'Learning theory'
78,closely_related spectral_clustering well_defined_theoretical aspects certain_threshold convex_relaxation eigenvalues_larger construction_method alternative_approach membership_matrix produce_matrices block_diagonal_matrices spectral_clustering construct_affinity_matrices eigenvalues_normalized hadamard_product subspace_clustering membership_matrix block_diagonal_structure detect_block_diagonal structures,'Machine learning applications'
79,parameter_estimation edge_preserving_property range_weighted_neighborhood filters unified_empirical_bayesian framework range_variance indirect_property_reasoning neighborhood_noise_model filtering_scheme color_image_denoising noisy_images model_fitting modified_non_local means_filters image_quality estimated_successfully essential_parameter range_variance empirical_distributions intuitive_tools,'Optimization'
80,automatic_algorithm different_scales google_street_view cars tall_buildings urban_environments inertial_sensors facades__poles cars__etc york__francisco paris large_regions global_alignment different_iterations non_rigid_global_alignment global_pose_estimation techniques__gps matched_robustly city_environments local_tracking_techniques integration long_ranges extract__semantic features wide_ranges,'Machine learning applications'
81,resulting_model_outperforms local_edge_orientations scale_dependent_calibration training_examples_based challenging_bsds_boundary learning_boundary_detection individual_tree_output probabilities_prior model_requires_substantially multiscale_combination approach_combines_efficient model training_time,'Deep learning'
82,standard_approaches best_video_representation enriches_visual_information art_performance effectively_leverage_deep convolutional_neural_networks cnns appropriate_encoding_method representation_improves taking_advantage large_scale_video dataset aggregating_frame_level static_features computationally_affordable significantly_improved video_representation mean_average_precision map limited_hardware_resources discriminative_video_representation event_detection frame_level_static latent_concept_descriptors frame_descriptor event_detection average_pooling,'Optimization'
83,Salient Salient_object detection_bootstrap bootstrap_learning_algorithm input_image strong_model detection_performance algorithm_performs_favorably generate_training_samples multiscale_saliency_maps strong_models samples_directly salient_object_detection models weak_saliency approach constructed_based detect_salient_pixels results easily_applied image_priors significant_improvement strong_classifier_based,'Learning theory'
84,object_reconstruction pascal_voc encouraging_automatic_reconstructions various_rigid_categories single_image noisy_automatic_object segmentations recently_introduced_pascal datasets make_progress realistic_scenes main_message annotations_available recovering_high_frequency shape_details automated_pipeline comprehensive_quantitative_analysis ablation_study,'Machine learning applications'
85,semantic_relevance_relations image_samples retrieve_image_sequences blog_posts image_sequences photo_streams co_locate_informative text vast_user_generated resource carefully_selected natural_language_text query__consisting approach_leverages exploit_large_scale photo_streams multiple_sentences methods_applications natural_language_sentence newly_created_disneyland dataset text_image_parallel training_data visualize_visitors_text latent_structural_framework representative_images,'Machine learning applications'
86,best_representative small_input_textures video_hole_filling larger_region measures_structural synthesis_algorithm novel_criterion statistical_dissimilarity works_generate generate_novel_instances texture_compression compactly_summarizes small_texture texture_synthesis classification__algorithms require,'Machine learning applications'
