,abstract,labels
36,invent_chair_styles generate_images different_chairs interpolate supervised_manner merely_learn chair_models different_chairs training_set chair_model_allowing meaningful_representation missing_ones type__viewpoint generative_convolutional_neural network, 'Social good'
37,correct_matches probe_person_image linear_similarity_functions greedily_keeping mahalanobis_distance negative_semi_definite regularization explicit_polynomial_kernel feature_map discover_different_soft patch_patterns similarity_scores unmatched_images similarity_information explicit_polynomial_kernel feature sparsity_constraint methodology similarity_function images__called soft_patch, 'Social good'
38,highly_accurate_bottom ensembles_operate reduce_ensemble_training uncapacitated_facility_location problems approach_rapidly_generates trained_ensembles_generalize generally_applicable_model combinatorial_optimization elementary_image_features training_procedure_jointly optimizes significant_margin delineate_candidate_objects highly_accurate_segmentation ensembles trained_jointly enabling_individual_models figurround_segmentation incorporated_models object_proposal algorithms, 'Social good'
39,considerable_portion event_recognition joint_reasoning_based multi_scale_spatial maps multi_layer_framework personal_lives social_activities multiple_aspects images__despite novel_strategy event_recognition recognizing_individual_objects deep_learning directly_applicable deep_network images_capture_events bounding_boxes recognizing_events semantic_fusion visual_appearance task__generally events objects_discovered event_photos_requires techniques art__raising complex_phenomena substantial_improvement detected_instances involve_interactions effective_method, 'Social good'
40,multiple_feature_modalities max_margin_principle representation_power classifier_parameters latent_spatial_temporal patterns__stps high_level_representation perform_action_recognition inference_process perform_bayeisan_estimation test_videos unified_bayesian_framework inference_process represent_actions employ_gibbs_classifiers action_recognition efficient_gibbs_sampling algorithm classification_capability regularization_terms hierarchical_generative_model hgm steps__mhbm jointly_learns expected_loss_function addition__multi task_learning action_recognition different_classes separate_representation multi_feature_max margin_hierarchical_bayesian model_mhbm discriminative_max_margin classifiers, 'Social good'
41,closely_related spectral_clustering well_defined_theoretical aspects certain_threshold convex_relaxation eigenvalues_larger construction_method alternative_approach membership_matrix produce_matrices block_diagonal_matrices spectral_clustering construct_affinity_matrices eigenvalues_normalized hadamard_product subspace_clustering membership_matrix block_diagonal_structure detect_block_diagonal structures, 'Social good'
42,automatic_algorithm different_scales google_street_view cars tall_buildings urban_environments inertial_sensors facades__poles cars__etc york__francisco paris large_regions global_alignment different_iterations non_rigid_global_alignment global_pose_estimation techniques__gps matched_robustly city_environments local_tracking_techniques integration long_ranges extract__semantic features wide_ranges, 'Social good'
43,resulting_model_outperforms local_edge_orientations scale_dependent_calibration training_examples_based challenging_bsds_boundary learning_boundary_detection individual_tree_output probabilities_prior model_requires_substantially multiscale_combination approach_combines_efficient model training_time, 'Social good'
44,standard_approaches best_video_representation enriches_visual_information art_performance effectively_leverage_deep convolutional_neural_networks cnns appropriate_encoding_method representation_improves taking_advantage large_scale_video dataset aggregating_frame_level static_features computationally_affordable significantly_improved video_representation mean_average_precision map limited_hardware_resources discriminative_video_representation event_detection frame_level_static latent_concept_descriptors frame_descriptor event_detection average_pooling, 'Social good'
45,Salient Salient_object detection_bootstrap bootstrap_learning_algorithm input_image strong_model detection_performance algorithm_performs_favorably generate_training_samples multiscale_saliency_maps strong_models samples_directly salient_object_detection models weak_saliency approach constructed_based detect_salient_pixels results easily_applied image_priors significant_improvement strong_classifier_based, 'Social good'
46,object_reconstruction pascal_voc encouraging_automatic_reconstructions various_rigid_categories single_image noisy_automatic_object segmentations recently_introduced_pascal datasets make_progress realistic_scenes main_message annotations_available recovering_high_frequency shape_details automated_pipeline comprehensive_quantitative_analysis ablation_study, 'Social good'
47,semantic_relevance_relations image_samples retrieve_image_sequences blog_posts image_sequences photo_streams co_locate_informative text vast_user_generated resource carefully_selected natural_language_text query__consisting approach_leverages exploit_large_scale photo_streams multiple_sentences methods_applications natural_language_sentence newly_created_disneyland dataset text_image_parallel training_data visualize_visitors_text latent_structural_framework representative_images, 'Social good'
48,best_representative small_input_textures video_hole_filling larger_region measures_structural synthesis_algorithm novel_criterion statistical_dissimilarity works_generate generate_novel_instances texture_compression compactly_summarizes small_texture texture_synthesis classification__algorithms require, 'Healthcare'
49,general_object brightness_constancy_assumption novel_metric_learning framework complex_segment_characteristics motion_segmentation showing_significant_improvements capture_texture optical_flow unsupervised_segmentation supervised_learning_approach dynamic_textures g_water smoke_foliage best_task_specific approaches arbitrary_motion solution_uses_custom spatiotemporal_filters specific_objects hierarchical__graph motion_cues natural_scenes exhibit_complex_patterns uniform_appearance, 'Social good'
50,regularize_based target_space spectral_data_embedding relationship_information_implicitly function_evaluations enforcing_smoothness function_holds_rich information dimensionality_reduction significantly_improves constrained_clustering semi_supervised_classification explicitly_regularize learning_tasks different_data_points art_algorithms, 'Social good'
51,perturbs_test_features art_solver test_time training_accuracy binary_features greedy_algorithm modalities_predict quadratic_program qp continuous_features mixed_integer_program mip approaches combine_different_modalities, 'Social good'
52,heterogeneous_data_modalities imgps__francisco certain_locations learns_features_useful problem hierarchical_sparse_coding approach estimating_location_information parallel_transport geometric_prior_corresponding corresponding_location_grouping different_locations novel_locations image_appearance_space videos_pertaining discriminating_images transferring_knowledge_available, 'Social good'
53,sequences__unlike multi_target_tracking separate_steps tracking_methods_usually camera_poses multi_frame_approach monocular_videos enforce_orthogonality joint_detection combining_extraction novel_vanishing_point vp__detection known_poses tracking_algorithm calibrated_monocular_image time_avoid_detecting need_known_camera poses track_separately multiple_annotated gaussian_sphere linear_program lp, 'Neuroscience'
54,Online_sketching_hashing major_characters problems_simultaneously_based novel_approach streaming_fashion attention__extensive algorithms data_sketching critical_problems different_applications successfully_applied learn_hash_functions online_fashion computational_complexity batch_based_models rarely_mentioned storage_space large_scale_benchmarks recently__hashing approximate_nearest_neighbor ann_search, 'Social good'
55,discrete_viewpoints computing_fft_based template_convolutions efficient_implementation metropolis_hastings_algorithm standard_decomposition_based procedures large_body arbitrary_viewpoint candidate_detections gradient_based_algorithm decorrelating_spatial_dependences synthesizing_templates numerically_stable model_databases training_procedures efficiently_search discriminative_template computationally_expensive quickly_produces_detectors rendered_view decorrelation_procedure_relies aligning_exact template_storage efficient_method scale__translation continuous_rotation method_synthesizes object_detection perform_joint_optimization training viewpoint_discretization_hampers pose_estimation_performance require_gigabytes arbitrary_continuous_detection viewpoint object_classes, 'Social good'
56,limited__learning long_term_dependencies current_models novel_recurrent_convolutional architecture_suitable separately_defined_andor simultaneously_learn_temporal dynamics target_concepts benchmark_video_recognition tasks_image description recurrent_long_term models variable_length_inputs video_frames model_complex_temporal dynamics jointly_trained large_scale_visual variable_length_outputs natural_language_text sequential_processing recurrent_convolutional_models art_models fixed_spatio_temporal receptive_field interpretation_tasks deep_convolutional_networks modern_visual_convnet models tasks_involving_sequences complex_andor_training data directly_connected models_based distinct_advantages network_state_updates long_term_models retrieval_problems, 'Social good'
57,vision_problems train_convolutional_neural networks__cnns label_noises general_framework easily_obtained_noisy labels probabilistic_graphical_model noisy_labels limited_number clean_labels experiments time_consuming well_labeled_data train_cnns images__class labels large_scale_supervised datasets trained_cnns clean_labels deep_learning_system, 'Social good'
58,Robust_saliency detection_random walks saliency_detection_approach regularized_random_walks formulate_pixel_wised saliency_maps graph_based_algorithms heavily_depend region_based_estimations superpixel_based_background significant_sacrifice art_saliency detection_approaches region_based_features image_boundary_selection saliency_detection image_details significantly_improved_accuracy foreground_saliency_estimations pre_processed_superpixel segmentation removal image_details input_image, 'Social good'
59,multiple_scales image_semantic_segmentation visual_contextual_cues extract_global label_consistency topic_model inter_label_correlations convolutional_neural_network partitioning_image joint_conditional_random field_model various_contexts regions_based weakly_supervised_semantic segmentation_model semantic_concepts local_features achieves_accuracy_comparable label_co_occurrence statistics iterative_refinement social_images, 'Social good'
60,sizable_leap easy_access surprising_effects common_wisdom performance_saturation sheds_lights deep_convolutional_networks cnn networks_represent_faces study_face_recognition target_domain directly_compare attracted_considerable_attention naive_random_subsampling ubiquitous_sensing identification n__protocols thanks regularizer scaling_machine_learning methods distinct_properties network_serves improve_face_recognition accuracy representation_norm bootstrapping_process moreover, 'Social good'
61,approach_effectively_leverages fundamental_problems semantic_labels region_level_depth local_segments trained_convolutional_neural network__cnn semantic_map unified_framework two_layer_hierarchical conditional_random field_hcrf semantic_segmentation region_wise_local prediction inference_problem sequentially__motivated depth_prediction obtain_fine_level details depth_estimation semantic_prediction joint_depth mutually_beneficial global_layout_composed semantic_prediction usually_solved_separately image_understanding strongly_correlated jointly_predict accurate_depth_prediction art_trained_solely semantic_information global_layout complementary_properties pixel_wislobal prediction pixel_wise_depth values, 'Social good'
62,inferred_affordance_basis functional_basis human_actions sequence g__forces objects__daily objects tools typical_motion_trajectories g affordances_basis inference_phase expected_physical_quantity learning_phase essential_physical_concepts algorithm_observes framework_task_oriented modeling__learning algorithm_learns best_choice_available generative_spatio_temporal representation_consisting underlying_functions physics object_recognition imagined_actions merely_memorizing_typical appearance_examples rational_human_picks target_object functional_basis underlying_physical_concepts force_pressure etc physical_mechanisms various_tasks, 'Social good'
63,unsupervised_deep_learning resulting_accuracy angular_variables considerably_improved predefined_feature_representations deep_scattering_convolution network promising_direction predefined_features representation_brings object_image_databases improve_image_classification dictionary_learning_algorithms refining_image_representations supervised_deep_convolution networks complex_wavelet_filters, 'Social good'
64,share_deep_representation knowledge weak_labels usually_require_strong initialization strong_labels weak__image level weak_labels strong__bounding box__labels deep_representations miss_specific_salient structures classification_style_data performs_domain_transfer includes_examples imagenet__detection strongly_labeled_auxiliary exploit_joint_training model_outperforms_known develop_methods learn_detector_models weak_label_learning joint_multiple_instance learning_method particular_category detector_learning transfer_learned_perceptual representations novel_formulation simultaneously_trains, 'Social good'
65,interaction_templates efficiently_finding nearby_sparse_spatio global_anomalies hierarchical_framework training_video slight_topological_deformations frequent_geometric_relations normal_interactions typically_detected hierarchical_feature_representation global_anomaly simultaneously_detect_local detecting_local process_regression novel_inference_method detection_rates_based data_unbalance_problems training_data simulations observed_interaction global_anomalies local_anomaly unusual_manner involves_multiple_normal events_interacting, 'Social good'
66,compact_fixed_length representation_machine techniques testing_time individual_characters_explicitly learning_word_image global_word_image signature local_midlevel_features machine_learning_aspect recognition_tasks works_standard_coding training_images framework global_descriptors global_representation vision_features cropped_image building_word_image representations produce_models_useful word_retrieval learn_local_mid level_features_suitable produced__little work aggregation_techniques_directly leveraging_character_bounding annotations, 'Social good'
67,incorporates_multiple_shadingreflectance priors model__benchmarked pixels__large scale_training inferring_lightness local_lightness_model shading_components relative_reflectance art_global_lightness model shading_together dense_conditional_random field_formulation single_image classic_methods_view patch_representations_built directly_predict_lightness differences intrinsic_images perceived_reflectance simultaneous_reasoning human_judgement_data, 'Neuroscience'
68,reveal_novel_challenges autonomous_driving taking_advantage kitti_data_collection minimal_representation_increases robustness rigid_motion_parameters small_number annotating_dynamic_scenes model_intrinsically_segments corresponding_object outdoor_scenes scene_flow_ground truth novel_model data_term_decomposes scene_flow_estimation pairwise_potentials, 'Social good'
69,deep_recurrent_architecture generate_natural_sentences fundamental_problem learns_solely human_performance_around quite_accurate image_descriptions newly_released_coco dataset target_description_sentence approach_yields generative_model_based training_image experiments bleu__score improvements machine_translation artificial_intelligence, 'Social good'
70,blob__match decompose_feature_maps group_lasso local_patterns reconstruction_errors significantly_outperforms_state blobs_based determine_weights fixation_bank featural_context_information feature_channels color_intensity orientation_motion corresponding_human_fixation density practical_applications saliency_models decompose_visual_stimuli feature_maps universally_accepted_feature multiple_scales standard_data_sets diem model_slightly location_dependent_weighting mechanism__tested integrate_different_feature channels blobs__extract local_activation patterns, 'Social good'
71,generalized_shrinkage_thresholding operator_negative_value demonstrate hyper_laplacian iteration_specific_priors directly_applied imagra dients iteration_wise_model parameters blur_kernel_estimation sharp_edge_prediction modeling_iteration_wise priors carefully_designed_image priors blind_deconvolution_framework stages__blur kernel_estimation posterior__map blind_deconvolution framework_involves blur_kernel coarse_shape principled_discriminative_learning model estimation methods avoid_heavy_parameter art_patch method model_parameters training_set, 'Social good'
72,visual_attention spatio_temporal_mixed graph linear_integer_programming cost_function_defined multiple_subjects relative_importance candidate_object_locations extract_objects human_viewers high_level_semantic objects human_attention visual_tracks_guide hungarian_algorithm obtains_favorable_object extraction visual_scenes naturally_biased novel_multiple_object extraction_algorithm generic_object_search algorithm video_sequence object_boundaries visual_scenes attract_visual_attention mean_shift_clustering segmentation crucial_indicator object_candidates object_extraction inference, 'Social good'
73,multiple_paths neighboring_units feed_forward_architecture recurrent_neural_networks recurrent_structure neuroscience__shares convolutional_layer abundant__inspired object_recognition context_information purely_feed_forward structure fixed_number parameters_leads property_enhances incorporating_recurrent_connections benchmark_object_recognition prominent_difference art_models unfolded_network achieved_great_success object_recognition convolutional_neural_network cnn arbitrarily_deep_network vision_tasks partially_inspired learning_process rcnn_units_evolve fewer_trainable_parameters rcnn_outperforms, 'Social good'
74,expensive_inference instead_superpixels small_image_elements superpixels rich_feature_representations approach_exploits_statistical structure purely_feed_forward architecture increasing_extent avoids_complex label_space architecture_achieves_average accuracy nested_regions semantic_segmentation explicit_structured_prediction mechanisms, 'Social good'
75,Saliency-aware Saliency-aware_geodesic video_object segmentation discriminative_visual_features spatial_edges background_regions demonstrate indicators__building foreground_areas spatiotemporal_saliency_maps appearance_models build_global_appearance models generate_framewise_spatiotemporal high_spatiotemporal_edge dynamic_location_models method_incorporates_saliency unsupervised__geodesic geodesic_distances dynamic_location_model initial_estimation energy_minimization_framework art_algorithms temporal_motion_boundaries temporally_coherent_object segmentation_extensive_quantitative subsequent_frames, 'Social good'
76,skip_architecture produce_correspondingly_sized output spatially_dense_prediction tasks convolutional_networks pascal_relative_improvement draw_connections shallow__fine layer detailed_segmentations learned_representations semantic_segmentation segmentation_task fully_convolutional_network deep__coarse layer fully_convolutional_networks explain adapt_contemporary_classification networks__alexnet arbitrary_size sift_flow build__fully convolutional__networks typical_image powerful_visual_models efficient_inference combines_semantic_information produce_accurate prior_models yield_hierarchies fully_convolutional_networks appearance_information, 'Social good'
77,nonparametric_prior pairwise_classifiers single_unified_deep convolutional_network challenging_images novel_multi_objective learning_method conditional_random_field significant_performance_improvements input_channels distinct_non_structured loss_functions pairwise_label_dependencies moreover smaller_network_size experiments unary_label_likelihoods, 'Social good'
78,local_optima average_improvement jointly_learns requires_large_training training_linear_support vector_machines svms_training lsms compound_lsm increased_model_complexity borrow_statistical_strength inherent_bias challenging_task standard_trained compound_lsm latent_subcategory_models lsms_offer significant_improvements possible_danger undoing_bias_approach potentially_large_number objective_function pascal__labelme caltech, 'Social good'
79,scenraphs_represent objects_man boat_attributes novel_framework objects man_standing scene_graphs method_outperforms_retrieval methods semantic_image_retrieval conditional_random_field model ranking_scores scene_graph human_generated_scene graphs_grounded low_level_image features test_images possible_groundings baseline_methods image_retrieval retrieve_semantically_related images improve_object_localization objects boat, 'Social good'
80,image_data query__associated directly_compute holistically_exploit unseen_query_thumbnail pairs selected_thumbnail retrieved_videos information__different multi_task_deep visual_semantic_model video_thumbnail_selection tremendous_growth influence_users_browsing freely_accessible_click searching_experience query_thumbnail_relevance online_videos video_thumbnail common_visualization_form multi_task_learning strategy embedding_model deep_visual_semantic embedding_model represent_video_semantics common_latent_semantic space dependent_video thumbnails adversely_affected correctly_matched video_content amazon_mechanical_turk video_thumbnails semantic_information title__description, 'Social good'
81,high_resolution_patches random_forests_popular close_relation regression_task well_known_computational efficiency neighborhood_embedding approach_yields_highly experimental_part high_resolution_image random_forests_nicely high_dimensional_space locally_linear_regression demand_tedious_parameter tweaks effective_regularized_objective method_comprises input_space non_linear_mapping single_low_resolution input single_image_super resolution standard_benchmarks tremendous_quality_improvements vision_problems especially_suits output_space, 'Social good'
82,significant_occlusion graphical_model entire_object standard_benchmarked connected_subtree flexible_composition tree_structure_building object_parts extremely_efficiently_requiring visible_nodes_form graphical_model novel_method obtain_significant_performance improvements parsing_humans family__stickmen dataset, 'Social good'
83,strongest_convnet_model different_training_data analyse_small wide_range convolutional_neural_networks convnets g__parts test_time pedestrian_detectors best_convnet_detectors occlusion_modelling additional_data optical_flow caltechx_training_setup convnets_reach deliberately_omit_explicitly convnets_underperform architectural_choices parameters pedestrian_detection despite surrogate_tasks reach_competitive_performance training_time, 'Social good'
84,frame_moving_object proposals_increase compute_segment_proposals ranking_spatio_temporal segment_proposals_according video_frame spatio_temporal_tubes moving_objectness_detector segment_moving_objects motion_affinities discard_overunder_segmentations background_parts ranked_segments detection_rate largest_video_segmentation benchmarks_currently_available detect_moving_objects moving_object motion_fields, 'Social good'
