,Domain
213,Trusted computing and communications
214,Trusted computing and communications
215,Trusted computing and communications
216,Trusted computing and communications
217,Trusted computing and communications
218,Trusted computing and communications
219,Trusted computing and communications
220,Trusted computing and communications
221,Trusted computing and communications
222,Trusted computing and communications
223,Trusted computing and communications
224,Trusted computing and communications
225,Trusted computing and communications
226,Trusted computing and communications
227,Trusted computing and communications
228,Trusted computing and communications
229,Trusted computing and communications
230,Trusted computing and communications
231,Trusted computing and communications
232,Trusted computing and communications
233,Trusted computing and communications
234,Trusted computing and communications
235,Trusted computing and communications
236,Trusted computing and communications
237,Trusted computing and communications
238,Trusted computing and communications
239,Trusted computing and communications
240,Trusted computing and communications
241,Trusted computing and communications
242,Trusted computing and communications
243,Trusted computing and communications
244,Trusted computing and communications
245,Trusted computing and communications
246,Trusted computing and communications
247,Trusted computing and communications
248,Trusted computing and communications
249,Trusted computing and communications
250,Trusted computing and communications
251,"Manufactering, design, and EDA"
252,"Manufactering, design, and EDA"
253,"Manufactering, design, and EDA"
254,"Manufactering, design, and EDA"
255,"Manufactering, design, and EDA"
256,"Manufactering, design, and EDA"
257,"Manufactering, design, and EDA"
258,"Manufactering, design, and EDA"
259,"Manufactering, design, and EDA"
260,"Manufactering, design, and EDA"
261,"Manufactering, design, and EDA"
262,"Manufactering, design, and EDA"
263,"Manufactering, design, and EDA"
264,"Manufactering, design, and EDA"
265,"Manufactering, design, and EDA"
266,"Manufactering, design, and EDA"
267,"Manufactering, design, and EDA"
268,"Manufactering, design, and EDA"
269,"Manufactering, design, and EDA"
270,"Manufactering, design, and EDA"
271,"Manufactering, design, and EDA"
272,"Manufactering, design, and EDA"
273,"Manufactering, design, and EDA"
274,"Manufactering, design, and EDA"
275,"Manufactering, design, and EDA"
276,"Manufactering, design, and EDA"
277,"Manufactering, design, and EDA"
278,"Manufactering, design, and EDA"
279,"Manufactering, design, and EDA"
280,"Manufactering, design, and EDA"
281,"Manufactering, design, and EDA"
282,"Manufactering, design, and EDA"
283,"Manufactering, design, and EDA"
284,"Manufactering, design, and EDA"
285,"Manufactering, design, and EDA"
286,"Manufactering, design, and EDA"
287,"Manufactering, design, and EDA"
288,"Manufactering, design, and EDA"
289,"Manufactering, design, and EDA"
290,"Manufactering, design, and EDA"
291,"Manufactering, design, and EDA"
292,"Manufactering, design, and EDA"
293,"Manufactering, design, and EDA"
294,"Manufactering, design, and EDA"
295,"Manufactering, design, and EDA"
296,"Manufactering, design, and EDA"
297,"Manufactering, design, and EDA"
298,"Manufactering, design, and EDA"
299,"Manufactering, design, and EDA"
300,"Manufactering, design, and EDA"
301,"Manufactering, design, and EDA"
302,"Manufactering, design, and EDA"
303,"Manufactering, design, and EDA"
304,"Manufactering, design, and EDA"
305,"Manufactering, design, and EDA"
306,"Manufactering, design, and EDA"
307,"Manufactering, design, and EDA"
308,"Manufactering, design, and EDA"
309,"Manufactering, design, and EDA"
310,"Manufactering, design, and EDA"
311,"Manufactering, design, and EDA"
312,"Manufactering, design, and EDA"
313,"Manufactering, design, and EDA"
314,"Manufactering, design, and EDA"
315,"Manufactering, design, and EDA"
316,"Manufactering, design, and EDA"
317,"Manufactering, design, and EDA"
318,"Manufactering, design, and EDA"
319,"Manufactering, design, and EDA"
320,"Manufactering, design, and EDA"
321,"Manufactering, design, and EDA"
322,"Manufactering, design, and EDA"
323,"Manufactering, design, and EDA"
324,"Manufactering, design, and EDA"
325,"Manufactering, design, and EDA"
326,"Manufactering, design, and EDA"
327,"Manufactering, design, and EDA"
328,"Manufactering, design, and EDA"
329,"Manufactering, design, and EDA"
330,Field-programmable devices
331,Field-programmable devices
332,Field-programmable devices
333,Field-programmable devices
334,Field-programmable devices
335,Field-programmable devices
336,Field-programmable devices
337,Field-programmable devices
338,Field-programmable devices
339,Field-programmable devices
340,Field-programmable devices
341,Field-programmable devices
342,Field-programmable devices
343,Field-programmable devices
344,Field-programmable devices
345,Field-programmable devices
346,Field-programmable devices
347,Field-programmable devices
348,Field-programmable devices
349,Field-programmable devices
350,Field-programmable devices
351,Field-programmable devices
352,Field-programmable devices
353,Field-programmable devices
354,Field-programmable devices
355,Field-programmable devices
356,Field-programmable devices
